Salma_Story3En	0.080566	0.476074	0.501709	0.509033	0.578613	0.073242	
Salma_Story3Hn	0.267334	0.710449	0.439453	0.435791	0.673828	0.249023	
Salma_Story4En	0.355225	0.490723	0.490723	0.435791	0.615234	0.347900	
Salma_Story4Hn	0.183105	0.609741	0.514526	0.510864	0.584106	0.142822	
Salma_Story5En	0.064087	0.536499	0.525513	0.545654	0.642700	0.058594	
Salma_Story5Hn	0.122681	0.422974	0.358887	0.379028	0.481567	0.109863	
---------------------------------------------------
Sanjeev_Story1Hn	0.501709	0.803833	0.512695	0.487061	0.351562	0.454102	
Sanjeev_Story1En	0.347900	1.043701	0.671997	0.690308	0.510864	0.292969	
Sanjeev_Story2Hn	0.238037	0.867920	0.384521	0.364380	0.565796	0.210571	
Sanjeev_Story2En	0.461426	0.653687	0.648193	0.653687	0.578613	0.382690	
Sanjeev_Story3Hn	0.194092	0.556641	0.342407	0.346069	0.516357	0.159302	
Sanjeev_Story3En	0.472412	0.607910	0.470581	0.474243	0.606079	0.406494	
Sanjeev_Story4En	0.060425	0.509033	0.360718	0.411987	0.232544	0.053101	
Sanjeev_Story4Hn	0.033875	0.500793	0.191345	0.221558	0.371704	0.027466	
Sanjeev_Story5En	0.192261	0.580444	0.432129	0.411987	0.401001	0.139160	
Sanjeev_Story5Hn	0.064087	0.537415	0.293884	0.336914	0.454102	0.053101	
---------------------------------------------------
Kausthubha_Story1En	0.529175	0.873413	0.734253	0.776367	0.470581	0.565796	
Kausthubha_Story1Kn	0.507202	0.816650	0.666504	0.717773	0.379028	0.545654	
Kausthubha_Story2En	0.496216	0.483398	0.558472	0.598755	0.377197	0.532837	
Kausthubha_Story2Kn	0.355225	0.613403	0.622559	0.631714	0.322266	0.368042	
Kausthubha_Story3En	0.318604	0.521851	0.525513	0.498047	0.346069	0.318604	
Kausthubha_Story3Kn	0.322266	0.483398	0.477905	0.477905	0.333252	0.322266	
Kausthubha_Story4En	0.483398	0.477905	0.624390	0.628052	0.349731	0.523682	
Kausthubha_Story4Kn	0.468750	0.439453	0.560303	0.560303	0.355225	0.494385	
Kausthubha_Story5En	0.435791	0.534668	0.666504	0.681152	0.410156	0.454102	
Kausthubha_Story5Kn	0.413818	0.578613	0.593262	0.593262	0.406494	0.413818	
---------------------------------------------------
Mekhala_Story1En	0.358887	0.600586	0.512695	0.490723	0.607910	0.366211	
Mekhala_Story1Kn	0.303955	0.600586	0.648193	0.633545	0.369873	0.285645	
Mekhala_Story2En	0.695801	0.593262	0.637207	0.644531	0.585938	0.703125	
Mekhala_Story2Kn	0.725098	0.351562	0.454102	0.446777	0.629883	0.659180	
Mekhala_Story3En	0.607910	0.556641	0.424805	0.468750	0.629883	0.673828	
Mekhala_Story3Kn	0.538330	0.563965	0.340576	0.311279	0.574951	0.501709	
Mekhala_Story4En	0.498047	0.131836	0.241699	0.234375	0.476074	0.468750	
Mekhala_Story4Kn	0.446777	0.454102	0.443115	0.428467	0.626221	0.457764	
Mekhala_Story5En	0.593262	0.402832	0.351562	0.351562	0.600586	0.534668	
Mekhala_Story5Kn	0.498047	0.314941	0.278320	0.249023	0.615234	0.476074	
---------------------------------------------------
PavanIn_Story1En	0.618896	0.432129	0.661011	0.618896	0.538330	0.615234	
PavanIn_Story1Kn	0.455933	0.505371	0.455933	0.459595	0.509033	0.446777	
PavanIn_Story2En	0.391846	0.677490	0.534668	0.468750	0.479736	0.355225	
PavanIn_Story2Kn	0.523682	0.637207	0.582275	0.567627	0.629883	0.465088	
PavanIn_Story3En	0.450439	0.629883	0.629883	0.600586	0.673828	0.417480	
PavanIn_Story3Kn	0.281982	0.509033	0.476074	0.461426	0.426636	0.263672	
PavanIn_Story4En	0.300293	0.758057	0.758057	0.758057	0.567627	0.289307	
PavanIn_Story4Kn	0.406494	0.681152	0.639038	0.598755	0.596924	0.355225	
PavanIn_Story5En	0.490723	0.640869	0.604248	0.549316	0.552979	0.479736	
PavanIn_Story5Kn	0.463257	0.569458	0.538330	0.556641	0.395508	0.459595	
---------------------------------------------------
Akshara_Story1En	0.743408	1.157227	0.739746	0.831299	1.087646	0.783691	
Akshara_Story1Ml	0.476074	1.131592	0.798340	0.882568	1.135254	0.476074	
Akshara_Story2En	0.340576	0.853271	0.329590	0.377197	0.944824	0.446777	
Akshara_Story2Ml	0.600586	1.289062	0.670166	0.849609	1.010742	0.567627	
Akshara_Story3En	0.618896	0.996094	0.428467	0.476074	1.087646	0.618896	
Akshara_Story3Ml	0.699463	0.864258	0.468750	0.512695	1.153564	0.747070	
Akshara_Story4En	0.552979	1.300049	0.563965	0.670166	0.977783	0.538330	
Akshara_Story4Ml	0.787354	0.988770	0.560303	0.604248	1.113281	0.802002	
Akshara_Story5En	0.589600	1.312866	0.531006	0.631714	1.105957	0.558472	
Akshara_Story5Ml	0.783691	1.047363	0.552979	0.600586	1.212158	0.809326	
---------------------------------------------------
Anand_Story1En	0.344238	0.314941	0.424805	0.424805	0.336914	0.336914	
Anand_Story1Ml	0.413818	0.292969	0.227051	0.249023	0.267334	0.413818	
Anand_Story2En	0.139160	0.263672	0.322266	0.318604	0.340576	0.139160	
Anand_Story2Ml	0.164795	0.322266	0.399170	0.406494	0.388184	0.197754	
Anand_Story3En	0.329590	0.402832	0.443115	0.461426	0.505371	0.366211	
Anand_Story3Ml	0.413818	0.410156	0.402832	0.424805	0.443115	0.428467	
Anand_Story4En	0.117188	0.476074	0.340576	0.340576	0.311279	0.124512	
Anand_Story4Ml	0.915527	0.516357	0.706787	0.468750	0.318604	0.648193	
Anand_Story5En	0.245361	0.285645	0.278320	0.278320	0.490723	0.270996	
Anand_Story5Ml	0.263672	0.358887	0.300293	0.281982	0.201416	0.249023	
---------------------------------------------------
Karthik_Story1En	0.706787	1.267090	1.201172	1.259766	0.758057	0.684814	
Karthik_Story1Ml	0.600586	1.556396	1.259766	1.413574	0.607910	0.600586	
Karthik_Story2En	0.512695	1.369629	1.201172	1.278076	0.552979	0.501709	
Karthik_Story2Ml	0.476074	1.699219	1.512451	1.560059	0.501709	0.439453	
Karthik_Story3En	0.468750	1.256104	1.131592	1.197510	0.633545	0.384521	
Karthik_Story3Ml	0.384521	1.453857	1.221313	1.278076	0.541992	0.320435	
Karthik_Story4En	0.454102	1.292725	1.133423	1.148071	0.483398	0.391846	
Karthik_Story4Ml	0.512695	1.409912	1.014404	1.043701	0.512695	0.421143	
